url,versionsDB,versionsJSON,versions
http://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:WCANLAGEOGD&srsName=EPSG:4326&outputFormat=csv,92,0,0
http://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:FRIEDHOFOGD&srsName=EPSG:4326&outputFormat=csv,91,0,0
http://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:FAHRSCHULEOGD&srsName=EPSG:4326&outputFormat=csv,90,0,0
http://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:SEHENSWUERDIGOGD&srsName=EPSG:4326&outputFormat=csv,89,0,0
http://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:GEONAMENOGD&srsName=EPSG:4326&outputFormat=csv,89,0,0
http://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:UNIVERSITAETOGD&srsName=EPSG:4326&outputFormat=csv,89,0,0
http://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:RELIGIONOGD&srsName=EPSG:4326&outputFormat=csv,89,0,0
http://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:SCHIFFANLEGESTOGD&srsName=EPSG:4326&outputFormat=csv,87,0,0
http://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:FUNDPUNKTEOGD&srsName=EPSG:4326&outputFormat=csv,85,0,0
http://www.commissarioperlaricostruzione.it/trasparenza/export.php?section=macerie-pubbliche-conferimenti&export_csv=true,84,0,0
http://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:BEGEGNUNGSZONEOGD&srsName=EPSG:4326&outputFormat=csv,84,0,0
http://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:FUSSGEHERZONEOGD&srsName=EPSG:4326&outputFormat=csv,84,0,0
http://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:CAMPINGPLATZOGD&srsName=EPSG:4326&outputFormat=csv,83,0,0
http://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:SCHWIMMBADOGD&srsName=EPSG:4326&outputFormat=csv,83,0,0
http://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:TAXIOGD&srsName=EPSG:4326&outputFormat=csv,82,0,0
http://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:BEHINDERTENPARKPLATZOGD&srsName=EPSG:4326&outputFormat=csv,82,0,0
http://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:STRASSENSPEEDOGD&srsName=EPSG:4326&outputFormat=csv,82,0,0
http://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&srsName=EPSG:4326&outputFormat=csv&typeName=ogdwien:PARKENANRAINEROGD,82,0,0
http://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:KRANKENHAUSOGD&srsName=EPSG:4326&outputFormat=csv,81,0,0
http://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:SPIELPLATZOGD&srsName=EPSG:4326&outputFormat=csv,81,0,0
http://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:POLIZEIOGD&srsName=EPSG:4326&outputFormat=csv,80,0,0
http://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:AKUSTISCHEAMPELOGD&srsName=EPSG:4326&outputFormat=csv,79,0,0
http://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:SOZIALMARKTOGD&srsName=EPSG:4326&outputFormat=csv,79,0,0
http://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:KURZPARKSTREIFENOGD&srsName=EPSG:4326&outputFormat=csv,78,0,0
http://data.wien.gv.at/daten/geo?service=WFS&request=GetFeature&version=1.1.0&typeName=ogdwien:HUNDEZONEOGD&srsName=EPSG:4326&outputFormat=csv,77,0,0
http://www.opendata.provincia.roma.it/exports/csvfiles/AccessPoint.csv,77,90,66
http://www.opendata.provincia.roma.it/exports/csvItafiles/AccessPointExIta.csv,77,89,66
http://www.ipeadata.gov.br/ExibeSerie.aspx?module=M&serid=38590&oper=exportCSVUS,76,0,0
https://www.dati.lombardia.it/api/views/9s8j-zavb/rows.csv?accessType=DOWNLOAD,74,0,0
http://data.stadt-salzburg.at/geodaten/wfs?service=WFS&version=1.1.0&request=GetFeature&srsName=urn:x-ogc:def:crs:EPSG:4326&outputFormat=csv&typeName=ogdsbg:parkplatz,73,0,0
https://www.dati.lombardia.it/api/views/cjgj-du8b/rows.csv?accessType=DOWNLOAD,73,0,0
