folder,intersection,union,average
6436,0,260,17
6443,0,260,16
6447,2,1260,96
6450,0,260,14
6454,0,260,15
6459,0,260,13
6460,0,5109,464
6462,0,260,11
6464,0,260,12
6466,0,260,17
6467,0,260,12
6468,0,260,16
6471,0,260,16
6473,27,1455,121
6474,8,994,90
6478,0,260,16
6481,29,1936,176
6487,0,260,14
6490,0,2776,231
6495,0,3459,266
6505,0,260,18
6507,0,260,14
6509,0,260,17
6519,0,260,18
6521,0,260,13
6526,0,260,11
6527,0,260,16
6528,25,25,2
6531,0,260,14
6532,0,260,17
6534,0,260,16
6538,7,2869,260
6545,0,260,14
6550,0,260,14
6552,4,3629,302
6554,0,260,13
6557,0,260,18
6560,0,260,13
6568,0,260,16
6570,0,260,13
6572,0,260,12
6574,0,260,16
6576,8,871,79
6578,6,1233,112
6580,15,1606,146
6592,0,260,23
6593,0,260,13
6601,20,726,55
6605,0,260,16
6608,0,260,20
6609,0,260,16
6612,0,260,15
6613,0,260,13
6614,0,260,20
6616,0,260,15
6618,0,6017,547
6620,159,159,14
6629,0,260,14
6633,0,260,17
6635,0,260,13
6639,0,260,21
6643,553,553,55
6647,0,260,16
6648,0,260,14
6650,0,260,13
6652,0,260,21
6655,0,260,16
6658,0,254,21
6662,0,260,18
6663,0,260,14
6668,0,260,16
6671,0,260,13
6672,553,553,55
6676,0,0,0
6678,18,855,77
6679,7,2129,212
6681,0,260,16
6682,0,260,16
6684,0,260,20
6690,0,260,15
6691,0,22,2
6695,0,1352,135
6697,108,149,14
6701,0,260,23
6702,0,260,16
6703,0,260,16
6704,0,0,0
6708,0,260,20
6714,0,260,13
6717,0,260,15
6718,0,260,18
6719,0,260,20
6721,55,522,52
6723,0,0,0
6727,0,260,18
6729,0,2770,251
6734,9,896,81
6735,0,260,15
6740,0,260,13
6741,0,260,16
6742,0,260,14
6743,0,1161,105
6745,0,0,0
6749,0,260,15
6750,0,260,13
6757,0,260,20
6758,28,1497,136
6759,0,260,13
6760,0,260,20
6761,0,260,17
6764,2,1210,100
6770,0,260,20
6775,0,260,18
6776,0,260,20
6777,0,260,15
6778,0,260,15
6782,0,260,18
6783,0,331,15
6786,0,260,15
6796,0,260,17
6798,9,9,0
6799,0,260,15
6800,12,2207,183
6801,0,260,17
6804,0,260,17
6807,0,260,14
6824,0,260,20
6827,0,260,18
6828,0,260,12
6829,10,447,37
6831,0,260,11
6833,0,260,18
6835,0,260,15
6838,0,260,20
6839,0,260,17
6842,0,260,20
6845,0,260,18
6848,0,260,21
6850,0,260,16
6851,0,0,0
6853,0,260,17
6858,0,0,0
6861,0,260,13
6863,0,260,14
6864,0,260,16
6869,0,260,15
6871,0,260,18
6879,0,260,17
6880,0,260,17
6881,0,260,13
6882,29,1442,160
6884,0,260,15
6885,0,260,11
6887,0,260,15
6889,0,260,14
6891,2,4,0
6892,0,260,12
6897,0,260,15
6899,0,0,0
6900,0,547,49
6902,0,260,13
6903,0,260,11
6904,5,188,23
