"folder";"sizeOriginal";"sizeDaff";"evolution";"patch";"quality"
4667;199887;88309;324;95;205
4677;645830;162715;670;147;355
4715;171213;65492;251;39;121
4719;525591;199583;715;153;297
4723;196968;78029;332;39;175
4725;146585;47032;192;31;94
4752;87204;23206;119;18;45
4771;1736296;764324;2759;915;1100
4772;450597;157060;604;135;251
4780;284918;115561;417;132;271
4797;288344;18182;228;105;140
4810;150416;62361;311;30;154
4826;498503;173600;815;166;449
4850;877968;201433;734;180;426
4856;235916;66398;473;36;226
4872;453102;172078;715;142;338
4875;82146;31136;153;22;83
4876;1807767;231901;9756;462;4857
4901;479647;231897;709;155;379
4906;140150;35781;442;23;213
4929;569395;228276;774;145;440
4957;112809;43134;203;29;123
4958;185270;46590;387;29;160
4969;1104736;637120;1962;640;726
4970;96424;8057;36;68;32
4985;480804;210976;789;141;423
4992;605908;181740;1296;325;728
4996;81892;14224;174;17;46
5007;412012;111124;426;65;224
5010;1595504;1092910;4737;2214;1269
5022;1505025;214481;888;7899;584
5031;11233882;1229100;44620;450623;16178
5036;447040;127986;1415;86;674
5051;25434;19619;24;16;16
5056;211940;67839;493;38;236
5062;157124;40488;250;26;131
5069;443008;170164;600;141;335
5071;311170;41423;275;97;210
5074;164535;61380;316;29;168
5079;2300091;264656;2075;15249;899
5081;151216;84776;269;89;178
5082;277841;106457;545;44;261
5088;264230;100761;302;45;142
5091;219433;74598;516;34;258
5118;10147113;1538472;18242;180254;5515
5126;123107;25915;248;20;127
5136;1853768;393833;2046;842;1000
5143;153033;58999;56;42;38
5145;2618500;159421;2848;5734;2685
5151;184717;56887;337;35;129
5153;452055;191104;747;130;309
5154;11884332;14202281;2676666;1005401;115867
5155;562927;181957;820;164;368
5161;823137;172873;703;227;382
5166;1778640;393616;1356;327;699
5169;2263646;564095;2099;1157;974
5171;510094;327098;355;526;140
5174;1765089;382027;1258;259;734
5178;935357;205615;1014;149;470
5180;206813;67538;329;36;160
5204;290358;101694;461;39;211
5208;669900;304187;862;168;402
5210;251794;125116;470;99;263
5225;2200140;134556;2024;4026;2053
5235;270796;108714;431;46;204
5236;2439334;316765;2455;16812;980
5239;215780;86280;449;39;231
5243;2080405;3816517;30910;12816;1306
5256;33582;3393;25;20;23
5257;3780092;314686;1161;11390;1073
5260;286785;19405;663;57;319
5262;286214;120792;626;104;346
5266;148326;63533;426;29;217
5270;212643;70445;358;38;191
5272;216192;93308;265;93;177
5273;789191;261884;1612;181;763
5280;418151;103295;207;774;113
5292;659541;134427;2448;176;1142
5306;384081;67995;157;421;100
5309;285237;40993;102;271;76
5318;48688;16159;80;13;43
5329;2344160;1217967;3114;1284;1083
5331;484839;263349;751;218;393
5335;211240;64298;417;45;197
5352;550159;72079;235;965;135
5361;659995;116662;316;1442;175
5362;537366;271992;884;141;433
5365;645135;247097;854;194;419
5370;506020;88739;225;787;124
5379;2480454;301390;1324;15966;987
5380;213132;71794;314;34;175
5384;320198;175979;688;138;429
5394;225674;81657;512;36;252
5396;191798;53982;397;28;198
5397;163986;73176;340;43;166
5402;200633;69419;322;37;145
5422;901927;249156;902;102;429
5432;353193;150414;635;136;350
5446;77627;144255;90;63;49
5447;2032431;609361;3352;864;1476
5450;351442;82099;383;44;145
5459;739863;252099;854;220;382
5460;484083;213144;978;126;451
5470;437788;212039;941;212;463
5473;460744;223563;622;132;306
5475;432306;177561;675;123;279
5478;765075;259354;942;142;466
5482;275860;80821;654;36;334
5483;272160;128140;493;115;290
5486;447344;235969;673;135;298
5504;1265316;418867;1394;292;643
5507;246923;88076;537;41;248
5515;345613;100064;642;48;306
5517;263649;97252;616;45;311
5519;227217;102054;636;112;330
5527;461049;154516;573;124;301
5530;536096;206261;702;143;322
5531;217041;57283;577;35;244
5535;683001;332336;1153;160;521
5536;232039;70451;533;34;266
5540;6165995;2912496;17596;93027;2539
5557;506821;252391;710;150;394
5561;274631;91362;509;46;253
5567;490979;235733;706;116;270
5578;399814;94667;420;112;201
5597;256832;96450;490;36;226
5612;542263;264284;753;183;387
5615;197394;49790;673;32;244
5621;853843;131184;543;2324;232
5626;404121;188209;995;143;526
5627;924136;167542;549;2548;247
5633;431818;95917;203;670;114
5634;481048;106374;243;843;131
5637;382021;83886;311;48;135
5640;2200486;1070927;3648;1036;1182
5647;290866;113572;551;50;306
5648;104482;27827;48;65;32
5661;180197;72807;368;30;186
5666;184473;48471;286;28;132
5669;232221;116554;539;96;306
5671;526353;231751;931;132;418
5672;465543;122535;190;492;105
5680;383678;90586;125;370;88
5683;674111;186894;721;151;363
