file,versions,size,average
6256,12,196508,16375.66667
6257,18,565471,31415.05556
6259,12,61738,5144.833333
6261,14,151935,10852.5
6263,12,2822978,235248.1667
6266,26,7792889,299726.5
6267,22,495493,22522.40909
6271,18,379246,21069.22222
6272,16,141990,8874.375
6273,12,705705,58808.75
6274,19,282877,14888.26316
6275,16,266565,16660.3125
6278,13,1915062,147312.4615
6282,17,3599920,211760
6283,16,390427,24401.6875
6285,32,2451345,76604.53125
6288,29,2587366,89219.51724
6290,15,118720,7914.666667
6294,18,261784,14543.55556
6297,13,3861072,297005.5385
6298,19,325758,17145.15789
6299,14,403774,28841
6300,17,249935,14702.05882
6301,18,235792,13099.55556
6305,20,616841,30842.05
6308,17,883104,51947.29412
6309,16,702461,43903.8125
6313,18,261303,14516.83333
6316,18,460353,25575.16667
6319,13,1857998,142922.9231
6320,12,89334946,7444578.83325000000
6321,21,357271,17012.90476
6326,20,553347,27667.35
6328,13,142722,10978.61538
6329,12,1361121,113426.75
6335,16,154142,9633.875
6337,17,260667,15333.35294
6340,13,41677853,3205988.69225000000
6343,12,1894907,157908.9167
6345,14,4894409,349600.6429
6347,12,905706,75475.5
6348,14,345449,24674.92857
6349,37,766064,20704.43243
6353,19,713372,37545.89474
6354,33,2363343,71616.45455
6355,30,2456854,81895.13333
6356,15,252493,16832.86667
6358,17,543422,31966
6360,11,27431,2493.727273
6362,12,139905,11658.75
6365,14,226824,16201.71429
6367,19,1558609,82032.05263
6370,15,365612,24374.13333
6372,21,556027,26477.47619
6374,12,2396493,199707.75
6377,17,371992,21881.88235
6378,11,122528,11138.90909
6380,11,989768,89978.90909
6381,16,1469148,91821.75
6382,14,359317,25665.5
6384,27,1674445,62016.48148
6387,11,36888,3353.454545
6391,12,1722056,143504.6667
6393,15,469267,31284.46667
6400,13,638799,49138.38462
6402,17,241853,14226.64706
6403,11,14481,1316.454545
6406,16,333974,20873.375
6407,16,469640,29352.5
6408,16,610003,38125.1875
6409,12,1710952,142579.3333
6410,12,4786980,398915
6412,13,170894,13145.69231
6414,11,102988930,936263025000000
6416,18,274078,15226.55556
6417,11,8377,761.5454545
6423,16,227109,14194.3125
6425,29,1882994,64930.82759
6426,12,1717662,143138.5
6427,16,200271,12516.9375
6428,18,474515,26361.94444
6429,17,334387,19669.82353
6434,19,435500,22921.05263
6436,15,1394895,92993
6438,12,157457,13121.41667
6443,16,166305,10394.0625
6446,28,2256114,80575.5
6447,13,250754,19288.76923
6450,18,224007,12444.83333
6454,17,262365,15433.23529
6459,20,730340,36517
6460,11,286206,26018.72727
6462,22,453637,20619.86364
6464,21,776083,36956.33333
6466,15,590689,39379.26667
6467,21,450869,21469.95238
6468,16,1419515,88719.6875
6470,17,2649661,155862.4118
6471,16,379408,23713
6472,13,43594080,3353390.76925000000
6473,12,964962,80413.5
6474,11,3710176,337288.7273
6477,22,1860261,84557.31818
6478,16,160277,10017.3125
6481,11,475436,43221.45455
6487,18,348316,19350.88889
6490,12,854784,71232
6491,11,48448738,4404430.72725000000
6495,13,107174,8244.153846
6499,11,52481987,4771089.72725000000
6505,14,157634,11259.57143
6507,18,724163,40231.27778
6509,15,229413,15294.2
6511,11,832513,75683
6515,11,1913609,173964.4545
6519,14,791067,56504.78571
6521,20,556679,27833.95
6526,23,934555,40632.82609
6527,16,267424,16714
6528,11,4189,380.8181818
6531,18,500242,27791.22222
6532,15,220714,14714.26667
6534,16,259836,16239.75
6538,11,364237,33112.45455
6539,11,2218688,201698.9091
6541,12,33688498,2807374.833
6545,18,576727,32040.38889
6547,13,90243,6941.769231
6548,22,599011,27227.77273
6549,14,49142840,3510202.85725000000
6550,18,274159,15231.05556
6552,12,876605,73050.41667
6554,19,315865,16624.47368
6555,54,39188400,725711.1111
6557,14,798716,57051.14286
6559,20,1547305,77365.25
6560,19,296606,15610.84211
6568,16,317781,19861.3125
6570,19,592219,31169.42105
6572,21,416683,19842.04762
6574,16,404897,25306.0625
6576,11,1513399,137581.7273
6578,11,374283,34025.72727
6580,11,727300,66118.18182
6592,11,46002,4182
6593,19,438167,23061.42105
6600,11,1636187,148744.2727
6601,13,65010,5000.769231
6604,26,812639,31255.34615
6605,16,587626,36726.625
6608,13,163705,12592.69231
6609,16,485495,30343.4375
6612,17,267917,15759.82353
6613,20,373971,18698.55
6614,13,144581,11121.61538
6616,17,246584,14504.94118
6618,11,561038,51003.45455
6620,11,1568953,142632.0909
6627,11,27012175,2455652.273
6629,18,683643,37980.16667
6631,10,7341606,734160.6
6633,15,556589,37105.93333
6635,20,369452,18472.6
6639,12,1243966,103663.8333
6643,10,155027,15502.7
6647,16,425499,26593.6875
6648,18,459358,25519.88889
6650,20,431358,21567.9
6652,12,340976,28414.66667
6655,16,1789939,111871.1875
6658,12,92463,7705.25
6661,11,41462212,376929225000000
6662,14,2565262,183233
6663,18,472862,26270.11111
6664,11,65974475,5997679.54525000000
6668,16,1934068,120879.25
6671,19,517606,27242.42105
6672,10,155027,15502.7
6676,10,104954,10495.4
6678,11,89105,8100.454545
6679,10,375684,37568.4
6681,16,488389,30524.3125
6682,16,516147,32259.1875
6684,13,728706,56054.30769
6690,17,492121,28948.29412
6691,11,6755,614.0909091
6693,12,58441,4870.083333
6695,10,26095,2609.5
6697,10,26291,2629.1
6701,11,111468,10133.45455
6702,16,444581,27786.3125
6703,16,320223,20013.9375
6704,11,2110,191.8181818
6707,19,1475255,77645
6708,13,204101,15700.07692
6709,12,20327539,1693961.583
6714,19,421872,22203.78947
6717,17,387678,22804.58824
6718,14,151344,10810.28571
6719,13,409366,31489.69231
6721,10,60689,6068.9
6723,11,1481062,134642
6725,24,933456,38894
6727,14,401677,28691.21429
6729,11,1555470,141406.3636
6734,11,44506,4046
6735,17,711499,41852.88235
6736,12,1491772,124314.3333
6738,20,1869077,93453.85
6740,19,601050,31634.21053
6741,16,264003,16500.1875
6742,18,901054,50058.55556
6743,11,569377,51761.54545
6745,10,18814,1881.4
6749,17,262451,15438.29412
6750,20,638504,31925.2
6756,10,16728217,1672821.7
6757,13,413370,31797.69231
6758,11,329924,29993.09091
6759,19,348891,18362.68421
6760,13,510691,39283.92308
6761,15,182386,12159.06667
6764,12,172761,14396.75
6765,21,5802899,276328.5238
6770,13,391276,30098.15385
6774,20,15069754,753487.7
6775,14,176722,12623
6776,13,256643,19741.76923
6777,17,382037,22472.76471
6778,17,664464,39086.11765
6782,14,271994,19428.14286
6783,21,425032,20239.61905
6786,17,455925,26819.11765
6796,15,211256,14083.73333
6798,11,2658,241.6363636
6799,17,274830,16166.47059
6800,12,138952,11579.33333
6801,15,168287,11219.13333
6802,10,21139087,2113908.7
6804,15,262602,17506.8
6807,18,325659,18092.16667
6808,10,85338288,8533828.825000000
6815,11,379949,34540.81818
6824,13,132615,10201.15385
6827,14,437707,31264.78571
6828,21,433079,20622.80952
6829,12,2348458,195704.8333
6831,22,621483,28249.22727
6833,14,519140,37081.42857
6835,17,281854,16579.64706
6838,13,1186857,91296.69231
6839,15,714629,47641.93333
6842,13,313145,24088.07692
6845,14,273642,19545.85714
6848,12,122908,10242.33333
6850,16,334431,20901.9375
6851,9,1191741,132415.6667
6853,15,265498,17699.86667
6854,10,103302745,10330274.5Maximo
6858,10,8940,894
6861,19,4067255,214066.0526
6863,18,337955,18775.27778
6864,16,226587,14161.6875
6869,17,475403,27964.88235
6871,14,2412483,172320.2143
6877,19,810967,42682.47368
6879,15,381981,25465.4
6880,15,360093,24006.2
6881,19,476307,25068.78947
6882,9,268933,29881.44444
6884,17,309070,18180.58824
6885,23,648203,28182.73913
6887,17,1225355,72079.70588
6889,18,381893,21216.27778
6891,8,2293,286.625
6892,21,606793,28894.90476
6897,17,474576,27916.23529
6899,9,740464,82273.77778
6900,11,43327,3938.818182
6902,20,412087,20604.35
6903,22,520091,23640.5
6904,8,1087333,135916.625
6910,10,290133,29013.3
6912,19,605115,31848.15789
6915,10,68190,6819
6918,9,6372084,708009.3333
6919,10,201134,20113.4
6920,18,612119,34006.61111
6921,20,390628,19531.4
6922,12,45347,3778.916667
6923,15,227005,15133.66667
6925,11,28007482,2546134.727
6928,16,426608,26663
6929,11,89361,8123.727273
6931,10,3521303,352130.3
6932,18,705536,39196.44444
6934,9,26255,2917.222222
6936,11,91841,8349.181818
6937,16,278507,17406.6875
6938,14,386638,27617
6940,18,606683,33704.61111
6941,18,3694111,205228.3889
6942,20,610418,30520.9
6951,18,493614,27423
6958,9,4533423,503713.6667
6960,10,196352,19635.2
6962,15,527283,35152.2
6963,21,468311,22300.52381
6969,20,1955650,97782.5
6970,17,612178,36010.47059
6972,21,558701,26604.80952
6973,13,635530,48886.92308
6977,10,212010,21201
6979,11,29103467,2645769.727
6982,14,225893,16135.21429
6987,17,1061989,62469.94118
6992,17,686127,40360.41176
6995,10,1048522,104852.2
7000,11,102751,9341
7001,10,14270,1427
7003,8,6181605,772700.625
7004,8,33162,4145.25
7005,20,726290,36314.5
7006,11,35102061,3191096.45525000000
7008,8,54809748,6851218.525000000
7011,14,232779,16627.07143
7012,10,16338630,1633863
7013,14,417318,29808.42857
7014,10,29981099,2998109.925000000
7015,14,377521,26965.78571
7017,17,467947,27526.29412
7018,11,2332049,212004.4545
7019,20,408823,20441.15
7020,20,3769946,188497.3
7024,10,7459671,745967.1
7025,17,273477,16086.88235
7028,17,464489,27322.88235
7030,9,1400358,155595.3333
7032,14,160867,11490.5
7033,12,42459674,3538306.16725000000
7036,9,42227394,4691932.66725000000
7043,19,403588,21241.47368
7044,10,134192,13419.2
7046,15,272501,18166.73333
7049,10,58994996,5899499.625000000
7055,19,398823,20990.68421
7057,19,388659,20455.73684
7059,13,486188,37399.07692
7061,17,1009936,59408
7067,20,422606,21130.3
7071,9,43765,4862.777778
7072,16,303305,18956.5625
7074,8,3072,384
7075,9,6701,744.5555556
7077,13,365594,28122.61538
7080,10,6601,660.1
7081,15,901014,60067.6
7085,13,326710,25131.53846
7087,17,384591,22623
7089,10,417418,41741.8
7093,10,14307,1430.7
7095,15,361087,24072.46667
7096,14,195444,13960.28571
7097,10,68520,6852
7101,20,577300,28865
7103,14,371327,26523.35714
7104,10,175859,17585.9
7108,24,1998698,83279.08333
7114,11,70984881,645317125000000
7116,16,294452,18403.25
7120,19,739758,38934.63158
7121,20,669196,33459.8
7126,9,31767,3529.666667
7127,9,1388610,154290
7131,9,740464,82273.77778
7135,16,342385,21399.0625
7139,16,239463,14966.4375
7144,13,169083,13006.38462
7145,12,140351,11695.91667
7146,20,488043,24402.15
7157,16,263013,16438.3125
7158,9,31549,3505.444444
7162,19,392210,20642.63158
7164,9,47566,5285.111111
7165,10,50226,5022.6
7166,22,532438,24201.72727
7170,9,113797,12644.11111
7174,13,159205,12246.53846
7175,11,117716,10701.45455
7181,15,2564360,170957.3333
7182,10,1423720,142372
7183,14,510937,36495.5
7184,10,159593,15959.3
7190,23,550235,23923.26087
7193,21,453149,21578.52381
7194,19,391651,20613.21053
7195,20,484053,24202.65
7196,9,211179,23464.33333
7197,9,6705,745
7200,18,497678,27648.77778
7201,16,245972,15373.25
7204,19,490240,25802.10526
7209,13,239728,18440.61538
7211,16,305746,19109.125
7212,12,62971862,5247655.16725000000
7215,11,316064,28733.09091
7217,19,808029,42527.84211
7218,19,557501,29342.15789
7219,10,1566072,156607.2
7220,11,37265361,3387760.09125000000
7222,19,1783233,93854.36842
7225,15,371349,24756.6
7226,13,350807,26985.15385
7227,15,393985,26265.66667
7230,18,454654,25258.55556
7232,20,395757,19787.85
7237,9,56750,6305.555556
7238,15,1084167,72277.8
7241,19,556230,29275.26316
7243,18,385126,21395.88889
7249,9,1407432,156381.3333
7256,20,387656,19382.8
7257,12,2270880,189240
7260,10,28641984,2864198.4
7264,36,2459226,68311.83333
7265,9,122417,13601.88889
7267,16,499192,31199.5
7271,18,569437,31635.38889
7274,18,577566,32087
7279,17,1272814,74871.41176
7280,19,422680,22246.31579
7284,19,387138,20375.68421
7285,18,633699,35205.5
7287,10,177943,17794.3
