file,versions,size,average
1931,44,582933,13248.47727
1933,37,2596691,70180.83784
1936,43,20604840,479182.3256
1940,39,7085432,181677.7436
1941,34,12979414,381747.4706
1942,42,5327367,126842.0714
1944,41,504618,12307.7561
1950,35,32990926,942597.8857
1953,39,1846759,47352.79487
1955,42,2592021,61714.78571
1958,35,54395798,1554165.657
1960,43,1827279,42494.86047
1961,41,3517657,85796.5122
1964,35,45356876,1295910.743
1966,42,3154419,75105.21429
1967,42,11974940,285117.619
1972,28,18799937,671426.3214
1974,48,2283032,47563.16667
1976,38,2869023,75500.60526
1982,34,88827738,2612580.529
1987,40,2424814,60620.35
1988,44,1677163,38117.34091
1990,50,3370021,67400.42
1996,39,1454979,37307.15385
2003,46,3059750,66516.30435
2008,45,11654373,258986.0667
2015,35,1042004,29771.54286
2018,33,36521907,1106724.455
2023,42,10254621,244157.6429
2025,31,2862704,92345.29032
2031,38,5911744,155572.2105
2036,48,6306492,131385.25
2042,32,4124754,128898.5625
2043,37,10707357,289388.027
2044,48,1505844,31371.75
2046,32,2848262,89008.1875
2048,24,36659062,1527460.917
2049,29,4684344,161529.1034
2050,40,12500866,312521.65
2051,40,2106293,52657.325
2054,40,13138901,328472.525
2060,31,1616516,52145.67742
2061,42,17195226,409410.1429
2065,42,7551401,179795.2619
2072,43,13679675,318131.9767
2073,31,551718,17797.35484
2091,33,8049771,243932.4545
2094,27,1683802,62363.03704
2095,37,1095690,29613.24324
2097,32,776340,24260.625
2099,47,2104805,44783.08511
2104,39,288442,7395.948718
2106,42,1622492,38630.7619
2107,40,2096702,52417.55
2108,40,2388121,59703.025
2112,34,8506314,250185.7059
2115,40,4844912,121122.8
2117,29,1555911,53652.10345
2119,32,5685601,177675.0313
2124,32,4089003,127781.3438
2142,35,3472608,99217.37143
2143,35,10307985,294513.8571
2150,34,8565663,251931.2647
2152,46,2240706,48711
2162,37,7406155,200166.3514
2165,38,1498406,39431.73684
2174,38,1176182,30952.15789
2175,31,3333175,107521.7742
2178,42,2149322,51174.33333
2183,42,1113910,26521.66667
2184,43,5644992,131278.8837
2187,27,1785546,66131.33333
2212,43,1523816,35437.5814
2213,43,1498843,34856.81395
2225,35,14712791,420365.4571
2230,42,2794537,66536.59524
2246,42,8279466,197130.1429
2260,42,3284874,78211.28571
2262,38,4956338,130429.9474
2269,41,2667017,65049.19512
2270,29,1516927,52307.82759
2274,29,711516,24535.03448
2275,43,10061550,233989.5349
2278,40,17661890,441547.25
2285,32,2830698,88459.3125
2292,30,2513423,83780.76667
2294,38,7487311,197034.5
2301,40,640034,16000.85
2302,39,1588390,40727.94872
2303,28,5998620,214236.4286
2304,35,5834472,166699.2
2307,48,16031818,333996.2083
2311,49,3907553,79745.97959
2315,38,1789448,47090.73684
2317,41,1866114,45514.97561
2320,36,1442911,40080.86111
2321,29,76737830,2646132.069
2322,34,1796619,52841.73529
2326,31,16701879,538770.2903
2327,46,7430202,161526.1304
2330,36,3251982,90332.83333
2331,32,5976321,186760.0313
2337,38,3599964,94735.89474
2338,40,1559065,38976.625
2342,31,74468408,2402206.71
2344,38,2381807,62679.13158
2347,42,6961184,165742.4762
2348,41,3629616,88527.21951
2352,29,8314851,286719
2359,28,34641636,1237201.286
2363,32,5286070,165189.6875
2367,39,5869812,150508
2374,42,971474,23130.33333
2377,42,7396890,176116.4286
2387,34,2792512,82132.70588
2390,42,9317750,221851.1905
2391,28,787565,28127.32143
2395,29,147179,5075.137931
2404,37,5037579,136150.7838
2410,26,13264914,510189
2415,34,4832756,142139.8824
2416,27,83435,3090.185185
2433,38,5183995,136420.9211
2441,28,561568,20056
2442,38,1938522,51013.73684
2449,39,1479147,37926.84615
2465,28,2174377,77656.32143
2466,31,4878134,157359.1613
2467,36,15224293,422897.0278
2470,27,580651,21505.59259
2472,30,9420341,314011.3667
2474,39,8045690,206299.7436
2477,40,465941,11648.525
2482,26,227142,8736.230769
2483,29,4845797,167096.4483
2484,26,28342418,1090093
2488,40,13669556,341738.9
2489,39,4753516,121885.0256
2490,39,2761664,70811.89744
2498,23,615167,26746.3913
2503,30,4096476,136549.2
2506,33,10704750,324386.3636
2509,35,4249646,121418.4571
2515,41,6453378,157399.4634
2517,37,10163700,274694.5946
2518,38,6350258,167112.0526
2520,27,19333989,716073.6667
2522,26,47677419,1833746.885
2531,26,2886321,111012.3462
2539,39,7268910,186382.3077
2542,26,3124829,120185.7308
2543,21,5829762,277607.7143
2545,36,18359122,509975.6111
2550,26,7642714,293950.5385
2565,32,6599782,206243.1875
2576,26,194144,7467.076923
2579,24,746937,31122.375
2581,28,1356261,48437.89286
2585,27,421954,15627.92593
2588,23,1542298,67056.43478
2594,39,1321941,33895.92308
2599,41,6493805,158385.4878
2603,39,7632081,195694.3846
2604,27,3571462,132276.3704
2605,40,3347705,83692.625
2609,41,3029127,73881.14634
2613,25,1145684,45827.36
2624,34,4935461,145160.6176
2628,27,711808,26363.25926
2639,38,3850635,101332.5
2641,33,576615,17473.18182
2643,39,4483756,114968.1026
2645,26,14449902,555765.4615
2646,25,76889,3075.56
2655,36,7027242,195201.1667
2657,37,11315950,305836.4865
2662,26,989147,38044.11538
2663,27,4823595,178651.6667
2684,27,6129202,227007.4815
2694,32,13959255,436226.7188
2696,25,544507,21780.28
2703,26,494,19
2709,34,5836107,171650.2059
2729,35,12833128,366660.8
2732,36,2442844,67856.77778
2735,25,4302313,172092.52
2736,31,11438714,368990.7742
2742,40,7971688,199292.2
2744,32,7330800,229087.5
2748,25,9676075,387043
2755,34,5994609,176312.0294
2770,25,158547,6341.88
2781,27,947999,35111.07407
2782,34,6438922,189380.0588
2811,32,2243287,70102.71875
2821,36,7219326,200536.8333
2826,37,11073266,299277.4595
2869,24,47431,1976.291667
2876,39,7211243,184903.6667
2878,35,8909134,254546.6857
2879,32,4682802,146337.5625
2887,32,8681313,271291.0313
2894,36,4593230,127589.7222
2896,22,733141,33324.59091
2897,25,4400704,176028.16
2904,31,11805610,380826.129
2905,43,3674921,85463.27907
2912,37,6363569,171988.3514
2919,25,38749782,1549991.28
2923,40,3722391,93059.775
2926,22,10398045,472638.4091
2930,20,8850537,442526.85
2932,32,4102532,128204.125
2937,25,12339824,493592.96
2940,37,11816624,319368.2162
2944,41,4511290,110031.4634
2946,34,3038920,89380
2949,35,24701527,705757.9143
2962,41,9360144,228296.1951
2984,42,3838075,91382.7381
3008,24,69934,2913.916667
3040,24,94084,3920.166667
3054,40,8454542,211363.55
3058,38,4256724,112019.0526
3069,39,5691923,145946.7436
3077,26,5653955,217459.8077
3130,17,4416158,259774
3132,30,6591755,219725.1667
3139,24,40600079,1691669.958
3150,38,9237427,243090.1842
3170,30,1256055,41868.5
3187,41,1659933,40486.17073
3208,38,5450419,143432.0789
3223,19,495441,26075.84211
3225,17,53258903,3132876.64725000000
3244,39,12180247,312314.0256
3272,24,75736,3155.666667
3275,33,7037076,213244.7273
3277,35,4746375,135610.7143
3280,23,2670210,116096.087
3290,33,10495152,318034.9091
3292,36,1584356,44009.88889
3346,35,13596359,388467.4
3350,34,623384,18334.82353
3353,24,596127,24838.625
3355,23,6007287,261186.3913
3373,42,3880359,92389.5
3395,23,765273,33272.73913
3402,32,6634700,207334.375
3414,23,16635363,723276.6522
3419,40,1768652,44216.3
3436,37,5526820,149373.5135
3459,34,26367986,775529
3462,23,4955026,215435.913
3464,41,5171752,126140.2927
3472,36,3512938,97581.61111
3474,42,1840398,43819
3483,35,2225613,63588.94286
3498,23,2018450,87758.69565
3500,36,3255487,90430.19444
3503,22,1266360,57561.81818
3517,37,4081210,110302.973
3521,27,5104039,189038.4815
3529,36,3934943,109303.9722
3534,37,15582835,421157.7027
3541,36,3139100,87197.22222
3549,23,18963356,824493.7391
3551,30,11930182,397672.7333
3576,22,73659982,334818125000000
3610,22,6707468,304884.9091
3632,22,440330,20015
3657,25,719674,28786.96
3670,23,668761,29076.56522
3675,22,9495555,431616.1364
3686,22,5153309,234241.3182
3707,21,154469,7355.666667
3718,32,378308,11822.125
3722,22,65321467,2969157.59125000000
3727,22,6079495,276340.6818
3739,34,10501320,308862.3529
3741,36,5573848,154829.1111
3751,22,52857616,2402618.909
3795,22,481031,21865.04545
3842,38,1234083,32475.86842
3868,37,11139988,301080.7568
3873,34,7069295,207920.4412
3882,23,28747010,1249870
3910,18,773033,42946.27778
3936,22,7940287,360922.1364
3955,28,1183535,42269.10714
3968,21,4233850,201611.9048
3986,29,1746371,60219.68966
4007,21,2017063,96050.61905
4022,21,4532327,215825.0952
4024,41,3191845,77849.87805
4031,35,3405113,97288.94286
4049,33,4144413,125588.2727
4062,21,2005392,95494.85714
4076,17,5083201,299011.8235
4085,20,773033,38651.65
4096,32,10070591,314705.9688
4106,35,7412617,211789.0571
4133,21,1386993,66047.28571
4147,32,6472930,202279.0625
4187,30,2475784,82526.13333
4192,17,5083201,299011.8235
4195,21,108719,5177.095238
4204,21,17512741,833940.0476
4229,20,637504,31875.2
4230,21,449024,21382.09524
4235,36,5648680,156907.7778
4249,34,3680458,108248.7647
4254,23,114819,4992.130435
4259,22,6743353,306516.0455
4270,25,2728983,109159.32
4280,20,666912,33345.6
4288,23,700470,30455.21739
4292,20,24621254,1231062.7
4295,32,1309497,40921.78125
4308,20,10590048,529502.4
4322,23,222013,9652.73913
4338,25,572724,22908.96
4340,32,4624472,144514.75
4348,18,138913,7717.388889
4356,22,12735556,578888.9091
4367,31,5454053,175937.1935
4369,42,3669065,87358.69048
4372,20,9165324,458266.2
4382,20,44810298,2240514.9
4399,31,10217779,329605.7742
4403,30,22903989,763466.3
4407,20,1114184,55709.2
4408,26,227039,8732.269231
4435,31,11580102,373551.6774
4440,25,4625264,185010.56
4460,19,992784,52251.78947
4470,20,3438987,171949.35
4471,18,25435,1413.055556
4487,25,151329,6053.16
4501,25,524244,20969.76
4512,37,1646792,44507.89189
4513,30,10826965,360898.8333
4540,18,25448,1413.777778
4550,25,199190,7967.6
4571,23,118987,5173.347826
4573,23,124051,5393.521739
4585,21,1878720,89462.85714
4588,38,10553691,277728.7105
4595,18,25348,1408.222222
4604,20,2096585,104829.25
4609,25,218359,8734.36
4632,22,1408,64
4635,24,259103,10795.95833
4641,25,547202,21888.08
4645,31,7760365,250334.3548
4654,20,6116014,305800.7
4661,32,6393569,199799.0313
4667,24,199887,8328.625
4677,23,645830,28079.56522
4679,19,8716609,458768.8947
4694,36,1391454,38651.5
4704,28,12070414,431086.2143
4715,23,171213,7444.043478
4719,24,525591,21899.625
4723,23,196968,8563.826087
4725,22,146585,6662.954545
4742,35,6608421,188812.0286
4752,21,87204,4152.571429
4771,24,1736296,72345.66667
4772,23,450597,19591.17391
4780,24,284918,11871.58333
4783,19,21251886,1118520.316
4793,30,1566399,52213.3
4797,19,288344,15176
4810,24,150416,6267.333333
4826,24,498503,20770.95833
4831,36,1434010,39833.61111
4832,34,669911,19703.26471
4844,19,66669239,3508907.31625000000
4850,21,877968,41808
4856,26,235916,9073.692308
4862,20,1947402,97370.1
4872,22,453102,20595.54545
4875,21,82146,3911.714286
4876,24,1807767,75323.625
4895,23,8555723,371987.9565
4900,38,1717584,45199.57895
4901,24,479647,19985.29167
4902,18,464409,25800.5
4906,20,140150,7007.5
4907,39,3400648,87196.10256
4909,37,1218083,32921.16216
4920,30,2140073,71335.76667
4921,25,3446852,137874.08
4929,24,569395,23724.79167
4944,32,23039686,719990.1875
4951,42,3068225,73052.97619
4957,21,112809,5371.857143
4958,23,185270,8055.217391
4962,34,5555591,163399.7353
4969,23,1104736,48032
4970,18,96424,5356.888889
4984,19,1309726,68932.94737
4985,23,480804,20904.52174
4989,31,12396437,399885.0645
4992,18,605908,33661.55556
4996,19,81892,4310.105263
5007,22,412012,18727.81818
5010,24,1595504,66479.33333
5021,30,1106208,36873.6
5022,16,1505025,94064.0625
5031,18,11233882,624104.5556
5036,24,447040,18626.66667
5041,19,4304070,226530
5042,31,510180,16457.41935
5049,18,97515754,5417541.88925000000
5051,18,25434,1413
5052,43,2634725,61272.67442
5053,28,1549476,55338.42857
5056,23,211940,9214.782609
5059,31,2922994,94290.12903
5062,22,157124,7142
5069,23,443008,19261.21739
5071,19,311170,16377.36842
5074,23,164535,7153.695652
5079,18,2300091,127782.8333
5081,22,151216,6873.454545
5082,25,277841,11113.64
5083,24,972044,40501.83333
5088,21,264230,12582.38095
5089,26,1117284,42972.46154
5091,23,219433,9540.565217
5110,15,8403987,560265.8
5114,28,1106882,39531.5
5118,19,10147113,534058.5789
5126,21,123107,5862.238095
5136,20,1853768,92688.4
5143,17,153033,9001.941176
5145,17,2618500,154029.4118
5151,22,184717,8396.227273
5153,21,452055,21526.42857
5154,17,11884332,699078.3529
5155,21,562927,26806.04762
5161,21,823137,39197
5166,22,1778640,80847.27273
5169,21,2263646,107792.6667
5171,18,510094,28338.55556
5174,22,1765089,80231.31818
5178,21,935357,44540.80952
5180,22,206813,9400.590909
5190,28,2833620,101200.7143
5204,24,290358,12098.25
5208,23,669900,29126.08696
5210,22,251794,11445.18182
5225,17,2200140,129420
5229,30,9976671,332555.7
5230,14,8602664,614476
5235,23,270796,11773.73913
5236,17,2439334,143490.2353
5238,26,1359945,52305.57692
5239,22,215780,9808.181818
5243,17,2080405,122376.7647
5252,31,2999836,96768.90323
5256,17,33582,1975.411765
5257,15,3780092,252006.1333
5259,31,1277999,41225.77419
5260,17,286785,16869.70588
5262,24,286214,11925.58333
5266,22,148326,6742.090909
