folder,column,versions,rows,simpleJaccard,completeJaccard,average,dataType
5171,1,17,214,0.7436653037383179,0.7587438152831225,17.842221000549806,string
5171,2,17,214,0.7558557242990649,0.7702171522814738,17.762231995602015,string
5171,3,17,214,0.3059579439252337,0.34678394722374933,5.294117647058805,int
5171,4,17,214,0.39821261682242975,0.43361187465640466,16.135514018691595,string
5171,5,17,214,0.20472254672897192,0.24573117097306205,7.873831775700934,string
5171,6,17,214,0.46518399532710275,0.4966437603078616,25.602803738317757,string
5171,7,17,214,0.6847459112149534,0.7032902693787793,7.850467289719636,string
5171,8,17,214,0.20130841121495327,0.24829026937877968,3.0,int
5171,9,17,214,0.34238317757009357,0.3810665200659704,12.758383727322713,string
5171,10,17,214,0.5422605140186915,0.5691863661352393,8.0,int
5540,1,16,732,0.9952149362477255,0.9955140027322371,17.900273224043715,string
5540,2,16,732,0.9949080145719489,0.9952262636612,16.434255464480874,string
5540,3,16,732,0.43389617486338733,0.46927766393442594,7.0,int
5540,4,16,732,1.0,1.0,2.0,int
5540,5,16,732,0.6612021857923497,0.6612021857923497,1.3224043715846994,string
5540,6,16,732,0.6612021857923497,0.6612021857923497,1.592896174863388,string
5540,7,16,732,0.9959016393442623,0.9959016393442623,2.987704918032787,string
5540,8,16,732,1.0,1.0,6.527322404371585,string
5540,9,16,732,0.9959016393442623,0.9959016393442623,2.9863387978142075,string
5540,10,16,732,0.9959016393442623,0.9959016393442623,0.9959016393442623,string
5540,11,16,732,1.0,1.0,6.576502732240437,string
5540,12,16,732,1.0,1.0,7.452185792349726,string
5540,13,16,732,0.9918123861566469,0.9920679644808741,2.750085382513661,string
5540,14,16,732,0.9918032786885246,0.9918032786885246,0.9918032786885246,string
5540,15,16,732,0.9916994535519119,0.9918767076502728,2.375426912568306,string
5540,16,16,732,1.0,1.0,4.0,int
5540,17,16,732,0.994535519125683,0.994535519125683,1.8005464480874316,
5540,18,16,732,0.994535519125683,0.994535519125683,1.989071038251366,string
5540,19,16,732,0.9959016393442623,0.9959016393442623,1.9918032786885247,
5540,20,16,732,0.9959016393442623,0.9959016393442623,2.4057377049180326,string
5540,21,16,732,0.9959016393442623,0.9959016393442623,4.810109289617486,string
5540,22,16,732,0.9959016393442623,0.9959016393442623,8.975409836065573,string
5540,23,16,732,0.9918032786885246,0.9918032786885246,1.0027322404371584,string
5540,24,16,732,0.9997522768670312,0.9997677595628415,5.989668715846994,string
5540,25,16,732,0.996049180327869,0.9962961065573778,8.408043032786885,string
5540,26,16,732,0.9949708561020038,0.9950290300546447,2.7743340163934427,string
5540,27,16,732,0.9948979963570129,0.9949607240437156,2.8030225409836067,string
5540,28,16,732,1.0,1.0,1.9959016393442623,int
5540,29,16,732,0.9959016393442623,0.9959016393442623,1.9918032786885247,string
5540,30,16,732,0.9959016393442623,0.9959016393442623,1.9918032786885247,
5540,31,16,732,0.9959016393442623,0.9959016393442623,8.975409836065573,string
5540,32,16,732,0.9918032786885246,0.9918032786885246,0.9918032786885246,string
5540,33,16,732,0.9943861566484523,0.99448087431694,2.9320355191256833,string
5540,34,16,732,0.9959016393442623,0.9959016393442623,3.469945355191257,string
5540,35,16,732,0.9959016393442623,0.9959016393442623,1.9918032786885247,string
5540,36,16,732,0.9959016393442623,0.9959016393442623,2.251366120218579,string
5540,37,16,732,0.9998142076502731,0.999825819672131,43.15710382513661,string
5540,38,16,732,1.0,1.0,5.993169398907104,string
5540,39,16,732,0.9989945355191259,0.9990573770491807,83.29166666666667,string
5540,40,16,732,0.657103825136612,0.657103825136612,0.657103825136612,string
5540,41,16,732,0.98720218579235,0.9874897540983625,19.334016393442624,string
5540,42,16,732,1.0,1.0,140.9808743169399,string
5540,43,16,732,0.9959016393442623,0.9959016393442623,1.9849726775956285,
5540,44,16,732,0.9959016393442623,0.9959016393442623,1.4139344262295082,string
5680,1,14,69,1.0,1.0,4.739130434782608,int
5680,2,14,69,0.9863991081382387,0.9873706004140788,25.633540372670808,string
5680,3,14,69,1.0,1.0,22.492753623188406,string
5680,4,14,69,0.6521739130434783,0.6521739130434783,16.07246376811594,string
5680,5,14,69,0.9855072463768116,0.9855072463768116,14.782608695652174,string
5680,6,14,69,0.6086956521739131,0.6086956521739131,9.130434782608695,string
5680,7,14,69,0.42028985507246375,0.42028985507246375,15.0,string
5680,8,14,69,0.6666666666666666,0.6666666666666666,9.289855072463768,string
5680,9,14,69,0.6666666666666666,0.6666666666666666,8.608695652173912,string
5680,10,14,69,0.4343701226309915,0.4509627329192551,1.0869565217391302,string
5680,11,14,69,0.6666666666666666,0.6666666666666666,7.36231884057971,string
5680,12,14,69,0.6666666666666666,0.6666666666666666,7.72463768115942,string
5680,13,14,69,1.0,1.0,6.0,string
5680,14,14,69,1.0,1.0,22.0,string
5680,15,14,69,1.0,1.0,5.550724637681159,string
5680,16,14,69,0.9843924191750278,0.9855072463768116,14.202898550724637,string
5680,17,14,69,1.0,1.0,6.420289855072464,string
5680,18,14,69,0.9964882943143814,0.9967391304347827,14.898550724637682,string
5680,19,14,69,0.8840579710144928,0.8840579710144928,1.5797101449275361,string
5680,20,14,69,0.014492753623188406,0.014492753623188406,0.13043478260869565,string
5680,21,14,69,0.0,0.0,0.0,
5680,22,14,69,0.0,0.0,0.0,
5680,23,14,69,0.07246376811594203,0.07246376811594203,0.17391304347826086,string
5680,24,14,69,0.10144927536231885,0.10144927536231885,0.4855072463768117,string
5680,25,14,69,0.19396878483835012,0.19978260869565223,0.9389233954451349,string
5680,26,14,69,0.9565217391304348,0.9565217391304348,4.865424430641822,
5680,27,14,69,0.30434782608695654,0.30434782608695654,7.3768115942028984,string
5680,28,14,69,0.9955183946488293,0.99583850931677,89.13457556935813,string
5680,29,14,69,0.14492753623188406,0.14492753623188406,9.623188405797102,string
5680,30,14,69,0.014492753623188406,0.014492753623188406,0.9710144927536232,string
5680,31,14,69,0.0,0.0,0.0,
5680,32,14,69,0.0,0.0,0.0,
5847,1,13,310,1.0,1.0,10.0,date
5847,2,13,310,0.6879892473118278,0.6926352357320097,10.967741935483877,string
5847,3,13,310,0.9430107526881721,0.9473945409429282,1.0,int
5847,4,13,310,5.376344086021505E-4,0.0019851116625310174,0.20967741935483866,string
5847,5,13,310,0.8394327956989266,0.8517841191066986,23.8637717121589,date
5847,6,13,310,0.09417741935483867,0.1442531017369727,1.467741935483871,string
5847,7,13,310,0.5633790322580646,0.5776104218362285,6.745161290322572,string
5847,8,13,310,0.4273010752688172,0.47135483870967726,4.0,int
5847,9,13,310,0.30391397849462365,0.33810421836228277,11.091066997518608,string
5847,10,13,310,0.0,0.0,0.0,
5847,11,13,310,0.8841612903225811,0.8930719602977663,58.923076923076785,string
5933,1,15,4,1.0,1.0,11.75,string
5933,2,15,4,0.12767857142857142,0.18583333333333335,1.8,int
5933,3,15,4,0.5633928571428571,0.5925,7.733333333333333,string
5933,4,15,4,0.8835714285714286,0.8913333333333334,18.2,date
6273,1,11,9,0.5000000000000001,0.5454545454545454,1.0,int
6273,2,11,9,0.975111111111111,0.9773737373737375,6454.555555555555,string
6273,3,11,9,0.7992222222222222,0.8174747474747475,23.909090909090907,date
6273,4,11,9,0.9142222222222222,0.9220202020202021,46.09090909090909,string
6528,1,10,14,1.0,1.0,12.5,string
6528,2,10,14,0.28404761904761905,0.35564285714285715,4.635714285714286,int
6528,3,10,14,0.6963492063492065,0.7267142857142856,4.142857142857143,string
6618,1,10,280,0.9192777777777755,0.92735,3.4142857142857146,int
6618,2,10,280,0.9308134920634922,0.9377321428571425,22.289285714285704,string
6618,3,10,280,0.9506031746031733,0.9555428571428575,24.025000000000002,string
6618,4,10,280,0.9093769841269835,0.9170107142857148,20.66071428571429,string
6618,5,10,280,0.74711507936508,0.7509749999999998,14.432142857142857,string
6618,6,10,280,0.8185873015873014,0.8199428571428574,6.7107142857142845,string
6618,7,10,280,0.33184126984126966,0.3347285714285719,4.346428571428571,string
6618,8,10,280,0.2949801587301586,0.2976250000000002,2.8892857142857142,string
6618,9,10,280,0.2485277777777776,0.2511749999999999,3.9178571428571427,string
6618,10,10,280,0.22455952380952357,0.22674642857142846,1.803571428571428,string
6618,11,10,280,0.6647222222222218,0.6689642857142868,29.203571428571443,string
6618,12,10,280,0.6239365079365078,0.6258285714285718,6.460714285714285,string
6618,13,10,280,0.959539682539683,0.9628714285714294,13.931071428571379,string
6618,14,10,280,0.9527380952380952,0.9567500000000005,12.989642857142814,string
6798,1,10,4,1.0,1.0,11.75,string
6798,2,10,4,0.08750000000000002,0.17875,2.0,int
6798,3,10,4,0.40472222222222226,0.4642500000000001,8.0,date
6798,4,10,4,0.7944444444444443,0.8149999999999998,17.8,date
7001,1,9,3,0.8975,0.9088888888888889,17.85185185185185,string
7001,2,9,3,0.9283333333333333,0.9362962962962964,17.77777777777778,string
7001,3,9,3,0.2141666666666667,0.3014814814814815,4.0,int
7001,4,9,3,0.9116666666666666,0.9214814814814813,32.333333333333336,string
7001,5,9,3,1.0,1.0,14.0,string
7001,6,9,3,0.86,0.8755555555555556,41.0,string
7001,7,9,3,0.9266666666666667,0.9348148148148149,145.66666666666666,string
7001,8,9,3,1.0,1.0,1.0,string
7001,9,9,3,1.0,1.0,1.0,string
7001,10,9,3,0.8333333333333334,0.8518518518518517,1.0,string
7001,11,9,3,1.0,1.0,1.0,string
7001,12,9,3,1.0,1.0,1.0,string
7001,13,9,3,1.0,1.0,1.0,string
7001,14,9,3,1.0,1.0,1.0,string
7001,15,9,3,1.0,1.0,1.0,string
7001,16,9,3,1.0,1.0,1.0,string
7001,17,9,3,1.0,1.0,1.0,string
7001,18,9,3,1.0,1.0,1.0,string
7001,19,9,3,1.0,1.0,1.0,string
7001,20,9,3,1.0,1.0,1.0,string
7001,21,9,3,1.0,1.0,1.0,string
7001,22,9,3,1.0,1.0,1.0,string
7001,23,9,3,0.8333333333333334,0.8518518518518517,1.0,string
7001,24,9,3,1.0,1.0,1.0,string
7001,25,9,3,0.8333333333333334,0.8518518518518517,1.0,string
7001,26,9,3,1.0,1.0,1.0,string
7001,27,9,3,1.0,1.0,1.0,string
7001,28,9,3,1.0,1.0,1.0,string
7001,29,9,3,1.0,1.0,1.0,string
7001,30,9,3,1.0,1.0,1.0,string
7001,31,9,3,0.5,0.5185185185185185,4.666666666666667,string
7001,32,9,3,0.5299999999999999,0.5451851851851851,5.0,string
7001,33,9,3,0.9233333333333332,0.9318518518518518,12.0,long
7001,34,9,3,0.8333333333333334,0.8518518518518517,1.0,string
7001,35,9,3,1.0,1.0,1.0,string
7001,36,9,3,1.0,1.0,1.0,string
